label,tol,moves_under_blanket_delta
max |test acc diff|,1e-12,False
A* (Krawczyk),1e-12,True
corner: eps range,1e-12,False
WP-1: mean U_own - U reproduces registered P1 at a=1.3,1e-12,True
WP-1: mean C_own - C reproduces registered P3 at a=1.3,1e-12,True
WP-1: mean U_own - U reproduces registered P1 at a=1.5,1e-12,True
WP-1: mean C_own - C reproduces registered P3 at a=1.5,1e-12,True
tanh: 1 - max at A = 40,1e-11,False
min margin at R2 = 0.001,6e-10,False
K domain: identity max relative error,5e-14,False
k = 1 check max diff,1e-10,False
k = 1 check max diff,1e-10,False
